Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
9932,Toms Herrera Martnez,M,21,198,95,Cuba,1972 Summer,Summer,Basketball Men's Basketball,Bronze,24
9933,Maurice Herriott,M,25,178,67,Great Britain,1964 Summer,Summer,"Athletics Men's 3,000 metres Steeplechase",Silver,21
9934,"Bernhard Erich ""Bernd"" Herrmann",M,24,191,80,West Germany,1976 Summer,Summer,Athletics Men's 4 x 400 metres Relay,Bronze,22
9935,Denise Herrmann,F,25,175,61,Germany,2014 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,20
9936,Walter Herrmann,M,25,203,105,Argentina,2004 Summer,Summer,Basketball Men's Basketball,Gold,25
9937,Hugo Herrnhof,M,29,182,75,Italy,1994 Winter,Winter,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,23
9938,Nicole Herschmann,F,26,180,71,Germany-2,2002 Winter,Winter,Bobsleigh Women's Two,Bronze,22
9939,"Thomas Alan ""Tom"" Herschmiller",M,26,198,93,Canada,2004 Summer,Summer,Rowing Men's Coxless Fours,Silver,24
9940,Timm Herzbruch,M,19,180,76,Germany,2016 Summer,Summer,Hockey Men's Hockey,Bronze,23
9941,Sabine He (-Schubert),F,17,150,43,East Germany,1976 Summer,Summer,Rowing Women's Coxed Fours,Gold,19
9942,Lutz Helich,M,21,185,90,East Germany,1980 Summer,Summer,Cycling Men's Sprint,Gold,26
9943,Lutz Helich,M,29,185,90,East Germany,1988 Summer,Summer,Cycling Men's Sprint,Gold,26
9944,Erika Hess (-Reymond),F,17,163,53,Switzerland,1980 Winter,Winter,Alpine Skiing Women's Slalom,Bronze,20
9945,Max Hess,M,26,165,71,"Philadelphia Turngemeinde, Philadelphia",1904 Summer,Summer,Gymnastics Men's Team All-Around,Gold,26
9946,Veronika Hesse-Schmidt,F,23,160,55,East Germany,1976 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze,21
9947,Veronika Hesse-Schmidt,F,27,160,55,East Germany,1980 Winter,Winter,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,21
9948,Mats Gunnar Hessel,M,22,177,78,Sweden,1984 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,25
