Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
1,Juhamatti Tapio Aaltonen,M,28,184,85,Finland,2014 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,25
2,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Individual All-Around,Bronze,21
3,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Team All-Around,Gold,21
4,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Horse Vault,Gold,21
5,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Pommelled Horse,Gold,21
6,Paavo Johannes Aaltonen,M,32,175,64,Finland,1952 Summer,Summer,Gymnastics Men's Team All-Around,Bronze,21
7,Kjetil Andr Aamodt,M,20,176,85,Norway,1992 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
8,Kjetil Andr Aamodt,M,20,176,85,Norway,1992 Winter,Winter,Alpine Skiing Men's Giant Slalom,Bronze,27
9,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Downhill,Silver,27
10,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Super G,Bronze,27
11,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Combined,Silver,27
12,Kjetil Andr Aamodt,M,30,176,85,Norway,2002 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
13,Kjetil Andr Aamodt,M,30,176,85,Norway,2002 Winter,Winter,Alpine Skiing Men's Combined,Gold,27
14,Kjetil Andr Aamodt,M,34,176,85,Norway,2006 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
15,Pepijn Aardewijn,M,26,189,72,Netherlands,1996 Summer,Summer,Rowing Men's Lightweight Double Sculls,Silver,20
16,Ann Kristin Aarnes,F,23,182,64,Norway,1996 Summer,Summer,Football Women's Football,Bronze,19
17,Giovanni Abagnale,M,21,198,90,Italy,2016 Summer,Summer,Rowing Men's Coxless Pairs,Bronze,23
18,Jos Luis Abajo Gmez,M,30,194,87,Spain,2008 Summer,Summer,"Fencing Men's epee, Individual",Bronze,23
19,Patimat Abakarova,F,21,165,49,Azerbaijan,2016 Summer,Summer,Taekwondo Women's Flyweight,Bronze,18
20,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,2008 Summer,Summer,Athletics Women's Javelin Throw,Silver,25
21,Aleksey Aleksandrovich Abalmasov,M,28,180,83,Belarus,2008 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,26
22,Luc Abalo,M,23,182,86,France,2008 Summer,Summer,Handball Men's Handball,Gold,26
23,Luc Abalo,M,27,182,86,France,2012 Summer,Summer,Handball Men's Handball,Gold,26
24,Luc Abalo,M,31,182,86,France,2016 Summer,Summer,Handball Men's Handball,Silver,26
25,Jouan Patrice Abanda Etong,M,22,185,82,Cameroon,2000 Summer,Summer,Football Men's Football,Gold,24
26,Jos Mara Abarca Plotas,M,22,186,83,Spain,1996 Summer,Summer,Water Polo Men's Water Polo,Gold,24
27,Stephen Anthony Abas,M,26,165,55,United States,2004 Summer,Summer,"Wrestling Men's Featherweight, Freestyle",Silver,20
28,Alejandro Abascal Garca,M,28,181,82,Spain,1980 Summer,Summer,Sailing Mixed Two Person Heavyweight Dinghy,Gold,25
29,Jos Manuel Abascal Gmez,M,26,182,67,Spain,1984 Summer,Summer,"Athletics Men's 1,500 metres",Bronze,20
30,Tamila Rashidovna Abasova,F,21,163,60,Russia,2004 Summer,Summer,Cycling Women's Sprint,Silver,23
31,Jol Marc Abati,M,38,190,85,France,2008 Summer,Summer,Handball Men's Handball,Gold,24
32,Pter Abay,M,30,181,79,Hungary,1992 Summer,Summer,"Fencing Men's Sabre, Team",Silver,24
33,Agostino Abbagnale,M,22,188,96,Italy,1988 Summer,Summer,Rowing Men's Quadruple Sculls,Gold,27
34,Agostino Abbagnale,M,29,188,96,Italy,1996 Summer,Summer,Rowing Men's Double Sculls,Gold,27
35,Agostino Abbagnale,M,34,188,96,Italy,2000 Summer,Summer,Rowing Men's Quadruple Sculls,Gold,27
36,Carmine Abbagnale,M,22,182,90,Italy,1984 Summer,Summer,Rowing Men's Coxed Pairs,Gold,27
37,Carmine Abbagnale,M,26,182,90,Italy,1988 Summer,Summer,Rowing Men's Coxed Pairs,Gold,27
38,Carmine Abbagnale,M,30,182,90,Italy,1992 Summer,Summer,Rowing Men's Coxed Pairs,Silver,27
39,Giuseppe Abbagnale,M,25,187,97,Italy,1984 Summer,Summer,Rowing Men's Coxed Pairs,Gold,28
40,Giuseppe Abbagnale,M,29,187,97,Italy,1988 Summer,Summer,Rowing Men's Coxed Pairs,Gold,28
41,Giuseppe Abbagnale,M,33,187,97,Italy,1992 Summer,Summer,Rowing Men's Coxed Pairs,Silver,28
42,"Desmond ""Des"" Abbott",M,21,184,87,Australia,2008 Summer,Summer,Hockey Men's Hockey,Bronze,26
43,Jeremy Abbott,M,28,175,70,United States,2014 Winter,Winter,Figure Skating Mixed Team,Bronze,23
44,Monica Cecilia Abbott,F,23,191,88,United States,2008 Summer,Summer,Softball Women's Softball,Silver,24
45,Nia Nicole Abdallah,F,20,175,56,United States,2004 Summer,Summer,Taekwondo Women's Featherweight,Silver,18
46,Saeid Morad Abdevali,M,26,170,80,Iran,2016 Summer,Summer,"Wrestling Men's Middleweight, Greco-Roman",Bronze,28
47,Reema Abdo,F,21,173,59,Canada,1984 Summer,Summer,Swimming Women's 4 x 100 metres Medley Relay,Bronze,20
48,Lala Abdul Rashid,M,38,169,91,Pakistan,1960 Summer,Summer,Hockey Men's Hockey,Gold,32
49,Muhammad Abdul Rashid,M,23,181,72,Pakistan,1964 Summer,Summer,Hockey Men's Hockey,Silver,22
50,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,1972 Summer,Summer,"Wrestling Men's Featherweight, Freestyle",Gold,24
51,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,2000 Summer,Summer,Boxing Men's Light-Welterweight,Gold,22
52,Namiq Yadulla Abdullayev,M,25,167,55,Azerbaijan,1996 Summer,Summer,"Wrestling Men's Flyweight, Freestyle",Silver,20
53,Namiq Yadulla Abdullayev,M,29,167,55,Azerbaijan,2000 Summer,Summer,"Wrestling Men's Bantamweight, Freestyle",Gold,20
54,Julius Shareef Abdur-Rahim,M,23,202,104,United States,2000 Summer,Summer,Basketball Men's Basketball,Gold,25
55,Yusup Abdusalomov,M,30,170,84,Tajikistan,2008 Summer,Summer,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,29
56,Andrey Khakimovich Abduvaliyev,M,26,190,125,Unified Team,1992 Summer,Summer,Athletics Men's Hammer Throw,Gold,35
57,Masashi Abe,M,28,175,64,Japan,1994 Winter,Winter,Nordic Combined Men's Team,Gold,21
58,Addis Abebe,M,21,160,50,Ethiopia,1992 Summer,Summer,"Athletics Men's 10,000 metres",Bronze,20
59,Clarence John Abel,M,23,185,102,United States,1924 Winter,Winter,Ice Hockey Men's Ice Hockey,Silver,30
60,Irene Abel,F,19,160,48,East Germany,1972 Summer,Summer,Gymnastics Women's Team All-Around,Silver,19
61,Jennifer Abel,F,20,160,62,Canada,2012 Summer,Summer,Diving Women's Synchronized Springboard,Bronze,24
62,Gezahgne Abera,M,22,166,58,Ethiopia,2000 Summer,Summer,Athletics Men's Marathon,Gold,21
63,Nils Georg berg,M,19,181,78,Sweden,1912 Summer,Summer,Athletics Men's Long Jump,Bronze,24
64,Nils Georg berg,M,19,181,78,Sweden,1912 Summer,Summer,Athletics Men's Triple Jump,Silver,24
65,Michael Brent Abernathy,M,22,182,84,United States,2000 Summer,Summer,Baseball Men's Baseball,Gold,25
66,Elvan Abeylegesse,F,25,159,40,Turkey,2008 Summer,Summer,"Athletics Women's 5,000 metres",Silver,16
67,Ismail Abilov (-Nizamolu),M,29,172,82,Bulgaria,1980 Summer,Summer,"Wrestling Men's Middleweight, Freestyle",Gold,28
68,"Edgar Allen ""Ed"" Ablowich",M,19,182,68,United States,1932 Summer,Summer,Athletics Men's 4 x 400 metres Relay,Gold,21
69,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012 Summer,Summer,Gymnastics Men's Floor Exercise,Bronze,24
70,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012 Summer,Summer,Gymnastics Men's Horse Vault,Silver,24
71,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016 Summer,Summer,Gymnastics Men's Team All-Around,Silver,24
72,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016 Summer,Summer,Gymnastics Men's Horse Vault,Silver,24
73,Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016 Summer,Summer,Gymnastics Men's Rings,Bronze,24
74,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,1972 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,22
75,Viktor Andreyevich Aboimov,M,22,190,78,Soviet Union,1972 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,22
76,"Matthew ""Matt"" Abood",M,30,197,92,Australia,2016 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,24
77,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Egypt,2012 Summer,Summer,"Fencing Men's Foil, Individual",Silver,25
78,Attila brahm,M,21,192,88,Hungary,1988 Summer,Summer,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,24
79,Attila brahm,M,21,192,88,Hungary,1988 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,24
80,Attila brahm,M,25,192,88,Hungary,1992 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,24
81,Gary Abraham,M,21,175,64,Great Britain,1980 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Bronze,21
82,Ara Abrahamian,M,29,191,84,Sweden,2004 Summer,Summer,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,23
83,Harold Maurice Abrahams,M,24,183,75,Great Britain,1924 Summer,Summer,Athletics Men's 100 metres,Gold,22
84,Harold Maurice Abrahams,M,24,183,75,Great Britain,1924 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Silver,22
85,Erik Adolf Efraim Abrahamsson,M,22,172,61,Sweden,1920 Summer,Summer,Athletics Men's Long Jump,Bronze,21
86,Pavel Sergeyevich Abramov,M,25,198,89,Russia,2004 Summer,Summer,Volleyball Men's Volleyball,Bronze,23
87,Nelli Mikhaylovna Abramova,F,24,171,60,Soviet Union,1964 Summer,Summer,Volleyball Women's Volleyball,Silver,21
88,Yekaterina Konstantinovna Abramova,F,23,167,65,Russia,2006 Winter,Winter,Speed Skating Women's Team Pursuit (6 laps),Bronze,23
89,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Spain,2016 Summer,Summer,Basketball Men's Basketball,Bronze,24
90,Svetlana Olegovna Abrosimova,F,28,188,77,Russia,2008 Summer,Summer,Basketball Women's Basketball,Bronze,22
91,Saypulla Atavovich Absaidov,M,22,168,68,Soviet Union,1980 Summer,Summer,"Wrestling Men's Lightweight, Freestyle",Gold,24
92,Julien Absalon,M,23,180,68,France,2004 Summer,Summer,"Cycling Men's Mountainbike, Cross-Country",Gold,21
93,Julien Absalon,M,27,180,68,France,2008 Summer,Summer,"Cycling Men's Mountainbike, Cross-Country",Gold,21
94,Ahmad Abughaush,M,20,178,68,Jordan,2016 Summer,Summer,Taekwondo Men's Featherweight,Gold,21
95,Ginko Abukawa-Chiba,F,26,148,46,Japan,1964 Summer,Summer,Gymnastics Women's Team All-Around,Bronze,21
96,Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,Soviet Union,1980 Summer,Summer,"Fencing Men's epee, Team",Bronze,23
97,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Soviet Union,1980 Summer,Summer,"Wrestling Men's Featherweight, Freestyle",Gold,21
98,Andreea Roxana Acatrinei,F,16,150,40,Romania,2008 Summer,Summer,Gymnastics Women's Team All-Around,Bronze,18
99,William Accambray,M,24,194,104,France,2012 Summer,Summer,Handball Men's Handball,Gold,28
100,Paul Accola,M,20,176,82,Switzerland,1988 Winter,Winter,Alpine Skiing Men's Combined,Bronze,26
101,Anibl Santiago Acevedo,M,21,176,67,Puerto Rico,1992 Summer,Summer,Boxing Men's Welterweight,Bronze,22
102,Daniel Aceves Villagrn,M,19,158,52,Mexico,1984 Summer,Summer,"Wrestling Men's Flyweight, Greco-Roman",Silver,21
103,Joachim Yaw Acheampong,M,18,181,73,Ghana,1992 Summer,Summer,Football Men's Football,Bronze,22
104,Alfred Achermann,M,24,176,75,Switzerland,1984 Summer,Summer,Cycling Men's 100 kilometres Team Time Trial,Silver,24
105,Abdel Hak Achik,M,29,165,54,Morocco,1988 Summer,Summer,Boxing Men's Featherweight,Bronze,20
106,Mohamed Abdelhak Achik,M,27,174,57,Morocco,1992 Summer,Summer,Boxing Men's Bantamweight,Bronze,19
107,Rita Nikolayevna Achkina,F,30,168,63,Soviet Union,1968 Winter,Winter,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze,22
108,Chantal Achterberg,F,27,172,72,Netherlands,2012 Summer,Summer,Rowing Women's Coxed Eights,Bronze,24
109,Chantal Achterberg,F,31,172,72,Netherlands,2016 Summer,Summer,Rowing Women's Quadruple Sculls,Silver,24
110,Paul Douglas Ackerley,M,27,179,68,New Zealand,1976 Summer,Summer,Hockey Men's Hockey,Gold,21
111,Ronny Ackermann,M,24,184,69,Germany,2002 Winter,Winter,Nordic Combined Men's Team,Silver,20
112,Ronny Ackermann,M,24,184,69,Germany,2002 Winter,Winter,Nordic Combined Men's Sprint,Silver,20
113,Ronny Ackermann,M,28,184,69,Germany,2006 Winter,Winter,Nordic Combined Men's Team,Silver,20
114,Donat Acklin,M,26,190,99,Switzerland-1,1992 Winter,Winter,Bobsleigh Men's Two,Gold,27
115,Donat Acklin,M,26,190,99,Switzerland-1,1992 Winter,Winter,Bobsleigh Men's Four,Bronze,27
116,Donat Acklin,M,28,190,99,Switzerland-1,1994 Winter,Winter,Bobsleigh Men's Two,Gold,27
117,Donat Acklin,M,28,190,99,Switzerland-1,1994 Winter,Winter,Bobsleigh Men's Four,Silver,27
118,Guido Acklin,M,24,200,104,Switzerland-2,1994 Winter,Winter,Bobsleigh Men's Two,Silver,26
119,Lautaro Germn Acosta,M,20,168,72,Argentina,2008 Summer,Summer,Football Men's Football,Gold,26
120,Osmay Acosta Duarte,M,23,188,91,Cuba,2008 Summer,Summer,Boxing Men's Heavyweight,Bronze,26
121,Kazimierz Piotr Adach,M,23,162,60,Poland,1980 Summer,Summer,Boxing Men's Lightweight,Bronze,23
122,Ji Adam,M,25,187,83,Czechoslovakia,1976 Summer,Summer,Modern Pentathlon Men's Team,Silver,24
123,"Michael B. ""Mike"" Adam",M,24,175,95,Canada,2006 Winter,Winter,Curling Men's Curling,Gold,31
124,Dariusz Adamczuk,M,22,179,78,Poland,1992 Summer,Summer,Football Men's Football,Silver,24
125,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,1912 Summer,Summer,Athletics Men's Standing High Jump,Silver,22
126,"Benjamin Willard ""Ben"" Adams",M,22,188,78,United States,1912 Summer,Summer,Athletics Men's Standing Long Jump,Bronze,22
127,Adrian Neil Adams,M,21,178,78,Great Britain,1980 Summer,Summer,Judo Men's Lightweight,Silver,25
128,Adrian Neil Adams,M,25,178,78,Great Britain,1984 Summer,Summer,Judo Men's Half-Middleweight,Silver,25
129,Nicola Virginia Adams,F,29,164,51,Great Britain,2012 Summer,Summer,Boxing Women's Flyweight,Gold,19
130,Nicola Virginia Adams,F,33,164,51,Great Britain,2016 Summer,Summer,Boxing Women's Flyweight,Gold,19
131,Platt Adams,M,27,188,78,United States,1912 Summer,Summer,Athletics Men's Standing High Jump,Gold,22
132,Platt Adams,M,27,188,78,United States,1912 Summer,Summer,Athletics Men's Standing Long Jump,Silver,22
133,Rachael Alexis Adams,F,26,188,81,United States,2016 Summer,Summer,Volleyball Women's Volleyball,Bronze,23
134,"Victoria ""Vicki"" Adams",F,24,164,69,Great Britain,2014 Winter,Winter,Curling Women's Curling,Bronze,26
135,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,New Zealand,2008 Summer,Summer,Athletics Women's Shot Put,Gold,32
136,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,New Zealand,2012 Summer,Summer,Athletics Women's Shot Put,Gold,32
137,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,New Zealand,2016 Summer,Summer,Athletics Women's Shot Put,Silver,32
138,Filip Kamil Adamski,M,29,189,87,Germany,2012 Summer,Summer,Rowing Men's Coxed Eights,Gold,24
139,Jerzy Adamski,M,23,171,58,Poland,1960 Summer,Summer,Boxing Men's Featherweight,Silver,20
140,Simon Addo,M,17,180,79,Ghana,1992 Summer,Summer,Football Men's Football,Bronze,24
141,Olubayo Adefemi,M,22,181,82,Nigeria,2008 Summer,Summer,Football Men's Football,Silver,25
142,"Ayodele ""Dele"" Adeleye",M,19,190,80,Nigeria,2008 Summer,Summer,Football Men's Football,Silver,22
143,Ademir Roque Kaefer,M,24,179,74,Brazil,1984 Summer,Summer,Football Men's Football,Silver,23
144,Ademir Roque Kaefer,M,28,179,74,Brazil,1988 Summer,Summer,Football Men's Football,Silver,23
145,Olapade Charles Adeniken,M,22,186,78,Nigeria,1992 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Silver,23
146,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,2012 Summer,Summer,Volleyball Women's Volleyball,Gold,19
147,Franck Adisson,M,23,180,70,France-1,1992 Summer,Summer,"Canoeing Men's Canadian Doubles, Slalom",Bronze,22
148,Franck Adisson,M,26,180,70,France-1,1996 Summer,Summer,"Canoeing Men's Canadian Doubles, Slalom",Gold,22
149,"Richard ""Richy""  Adjei",M,27,190,110,Germany-2,2010 Winter,Winter,Bobsleigh Men's Two,Silver,30
150,Derrick Ralph Adkins,M,26,188,80,United States,1996 Summer,Summer,Athletics Men's 400 metres Hurdles,Gold,23
151,Daniel Adler,M,26,180,72,Brazil,1984 Summer,Summer,Sailing Mixed Three Person Keelboat,Silver,22
152,Egon Adler,M,23,172,62,Germany,1960 Summer,Summer,Cycling Men's 100 kilometres Team Time Trial,Silver,21
153,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,2008 Summer,Summer,Swimming Women's 400 metres Freestyle,Gold,22
154,"Rebecca ""Becky"" Adlington",F,19,179,70,Great Britain,2008 Summer,Summer,Swimming Women's 800 metres Freestyle,Gold,22
155,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,2012 Summer,Summer,Swimming Women's 400 metres Freestyle,Bronze,22
156,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,2012 Summer,Summer,Swimming Women's 800 metres Freestyle,Bronze,22
157,Dainius Adomaitis,M,26,202,100,Lithuania,2000 Summer,Summer,Basketball Men's Basketball,Bronze,25
158,Nathan Ghar-Jun Adrian,M,19,198,100,United States,2008 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,26
159,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012 Summer,Summer,Swimming Men's 100 metres Freestyle,Gold,26
160,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,26
161,Nathan Ghar-Jun Adrian,M,23,198,100,United States,2012 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Gold,26
162,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016 Summer,Summer,Swimming Men's 50 metres Freestyle,Bronze,26
163,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016 Summer,Summer,Swimming Men's 100 metres Freestyle,Bronze,26
164,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,26
165,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016 Summer,Summer,Swimming Men's 4 x 100 metres Medley Relay,Gold,26
166,Adriana Aparecida dos Santos,F,25,180,61,Brazil,1996 Summer,Summer,Basketball Women's Basketball,Silver,19
167,Adriana Aparecida dos Santos,F,29,180,61,Brazil,2000 Summer,Summer,Basketball Women's Basketball,Bronze,19
168,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,Brazil,2000 Summer,Summer,Basketball Women's Basketball,Bronze,22
169,Attila Adrovicz,M,30,189,87,Hungary,1996 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,24
170,Klaus Aeffke,M,24,189,82,Germany,1964 Summer,Summer,Rowing Men's Coxed Eights,Silver,23
171,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,2012 Summer,Summer,Gymnastics Women's Team All-Around,Silver,19
172,Maksim Sergeyevich Afinogenov,M,22,183,88,Russia,2002 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,26
173,"Olabisi ""Bisi"" Afolabi",F,20,180,62,Nigeria,1996 Summer,Summer,Athletics Women's 4 x 400 metres Relay,Silver,19
174,Felicia Afrsiloaie (-Jitianu),F,22,178,70,Romania,1976 Summer,Summer,Rowing Women's Coxed Quadruple Sculls,Bronze,22
175,Cecil Sebastian Afrika,M,28,175,75,South Africa,2016 Summer,Summer,Rugby Sevens Men's Rugby Sevens,Bronze,24
176,Muhammad Afzal Manna,M,25,173,76,Pakistan,1964 Summer,Summer,Hockey Men's Hockey,Silver,25
177,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,2016 Summer,Summer,Rugby Sevens Men's Rugby Sevens,Bronze,28
178,Lavinia Agache (-Carney),F,16,148,40,Romania,1984 Summer,Summer,Gymnastics Women's Team All-Around,Gold,18
179,Lavinia Agache (-Carney),F,16,148,40,Romania,1984 Summer,Summer,Gymnastics Women's Horse Vault,Bronze,18
180,Luca Agamennoni,M,24,187,93,Italy,2004 Summer,Summer,Rowing Men's Coxless Fours,Bronze,27
181,Luca Agamennoni,M,27,187,93,Italy,2008 Summer,Summer,Rowing Men's Quadruple Sculls,Silver,27
182,Andre Kirk Agassi,M,26,180,80,United States,1996 Summer,Summer,Tennis Men's Singles,Gold,25
183,Clarisse Agbegnenou,F,23,164,66,France,2016 Summer,Summer,Judo Women's Half-Middleweight,Silver,25
184,Viktor Ivanovich Ageyev,M,20,184,80,Soviet Union,1956 Summer,Summer,Water Polo Men's Water Polo,Bronze,24
185,Viktor Ivanovich Ageyev,M,24,184,80,Soviet Union,1960 Summer,Summer,Water Polo Men's Water Polo,Silver,24
186,Viktor Ivanovich Ageyev,M,28,184,80,Soviet Union,1964 Summer,Summer,Water Polo Men's Water Polo,Bronze,24
187,Marilyn Agliotti,F,29,172,58,Netherlands,2008 Summer,Summer,Hockey Women's Hockey,Gold,20
188,Marilyn Agliotti,F,33,172,58,Netherlands,2012 Summer,Summer,Hockey Women's Hockey,Gold,20
189,Yannick Agnel,M,20,202,90,France,2012 Summer,Summer,Swimming Men's 200 metres Freestyle,Gold,22
190,Yannick Agnel,M,20,202,90,France,2012 Summer,Summer,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,22
191,Yannick Agnel,M,20,202,90,France,2012 Summer,Summer,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,22
192,Meghan Christina Agosta (-Marciano),F,18,168,67,Canada,2006 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
193,Meghan Christina Agosta (-Marciano),F,23,168,67,Canada,2010 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
194,Meghan Christina Agosta (-Marciano),F,26,168,67,Canada,2014 Winter,Winter,Ice Hockey Women's Ice Hockey,Gold,24
195,"Benjamin Alexandro ""Ben"" Agosto",M,24,178,75,United States-1,2006 Winter,Winter,Figure Skating Mixed Ice Dancing,Silver,24
196,Judit goston-Mendelnyi,F,27,164,62,Hungary,1964 Summer,Summer,"Fencing Women's Foil, Team",Gold,23
197,Sergio Leonel Agero del Castillo,M,20,172,74,Argentina,2008 Summer,Summer,Football Men's Football,Gold,25
198,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,175,70,Cuba,2000 Summer,Summer,Volleyball Women's Volleyball,Gold,23
199,Jos Aguilar Pulsn,M,20,173,64,Cuba,1980 Summer,Summer,Boxing Men's Light-Welterweight,Bronze,21
200,Macarena Aguilar Daz,F,27,170,67,Spain,2012 Summer,Summer,Handball Women's Handball,Bronze,23
201,Sandra Aguilar Navarro,F,23,167,50,Spain,2016 Summer,Summer,Rhythmic Gymnastics Women's Group,Silver,18
202,Jorge Luis Aguilera Ruiz,M,26,172,64,Cuba,1992 Summer,Summer,Athletics Men's 4 x 100 metres Relay,Bronze,22
203,Sri Wahyuni Agustiani,F,21,147,47,Indonesia,2016 Summer,Summer,Weightlifting Women's Flyweight,Silver,22
204,Robyn Mokihana Ah Mow-Santos,F,32,172,67,United States,2008 Summer,Summer,Volleyball Women's Volleyball,Silver,23
205,Kevin Joseph Ahearn,M,23,175,73,United States,1972 Winter,Winter,Ice Hockey Men's Ice Hockey,Silver,24
206,"Timothy Joseph ""Tim"" Ahearne",M,22,170,57,Great Britain,1908 Summer,Summer,Athletics Men's Triple Jump,Gold,20
207,Bruno Valfrid Ahlberg,M,21,168,70,Finland,1932 Summer,Summer,Boxing Men's Welterweight,Bronze,25
208,Mats Bertil hlberg,M,32,179,78,Sweden,1980 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,24
209,Annica Gunilla hln,F,27,177,75,Sweden,2002 Winter,Winter,Ice Hockey Women's Ice Hockey,Bronze,24
210,Thomas Valter hln,M,24,182,90,Sweden,1984 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,27
211,Christian Ahlmann,M,29,189,80,Germany,2004 Summer,Summer,"Equestrianism Mixed Jumping, Team",Bronze,22
212,Christian Ahlmann,M,41,189,80,Germany,2016 Summer,Summer,"Equestrianism Mixed Jumping, Team",Bronze,22
213,Tontowi Ahmad,M,29,179,72,Indonesia-1,2016 Summer,Summer,Badminton Mixed Doubles,Gold,22
214,Arne Per hman,M,23,176,64,Sweden,1948 Summer,Summer,Athletics Men's Triple Jump,Gold,21
215,Jrg Ahmann,M,34,190,88,Germany-1,2000 Summer,Summer,Beach Volleyball Men's Beach Volleyball,Bronze,24
216,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992 Summer,Summer,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,18
217,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992 Summer,Summer,Swimming Women's 100 metres Butterfly,Silver,18
218,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,United States,1992 Summer,Summer,Swimming Women's 4 x 100 metres Medley Relay,Gold,18
219,Muhammad Ashfaq Ahmed,M,21,162,62,Pakistan,1968 Summer,Summer,Hockey Men's Hockey,Gold,24
220,Bashir Ahmed,M,25,171,67,Pakistan,1960 Summer,Summer,Hockey Men's Hockey,Gold,23
221,Ishtiaq Ahmed,M,21,170,62,Pakistan,1984 Summer,Summer,Hockey Men's Hockey,Gold,21
222,Manzoor Ahmed,M,24,169,75,Pakistan,1992 Summer,Summer,Hockey Men's Hockey,Bronze,26
223,Mushtaq Ahmed,M,28,170,70,Pakistan,1984 Summer,Summer,Hockey Men's Hockey,Gold,24
224,Mushtaq Ahmed,M,27,173,61,Pakistan,1960 Summer,Summer,Hockey Men's Hockey,Gold,20
